Date,Site,Barn,Avg_Temperature_F,Avg_Humidity_pct,Water_Usage_Gallons,Power_Usage_kWh,Ventilation_Level_pct,Notes
1/1/2025,Nursery North,N1,72.7,57.8,2313,395.4,39.4,Synthetic environmental + utility data for planning and analytics
1/2/2025,Nursery North,N1,72,59.8,2060,374.1,62.3,Synthetic environmental + utility data for planning and analytics
1/3/2025,Nursery North,N1,69.2,66.8,2372,403.7,49.8,Synthetic environmental + utility data for planning and analytics
1/4/2025,Nursery North,N1,68.6,56.1,2364,362.3,72.4,Synthetic environmental + utility data for planning and analytics
1/5/2025,Nursery North,N1,70.3,60.8,1940,324.9,38.3,Synthetic environmental + utility data for planning and analytics
1/6/2025,Nursery North,N1,73.1,62.3,1851,363.2,42.6,Synthetic environmental + utility data for planning and analytics
1/7/2025,Nursery North,N1,71.8,71.5,2154,323.6,48.7,Synthetic environmental + utility data for planning and analytics
1/8/2025,Nursery North,N1,69.1,62.1,2315,330.8,54.3,Synthetic environmental + utility data for planning and analytics
1/9/2025,Nursery North,N1,71.7,61.2,2581,392.9,79.7,Synthetic environmental + utility data for planning and analytics
1/10/2025,Nursery North,N1,74.7,57.6,2009,350.9,56.1,Synthetic environmental + utility data for planning and analytics
1/11/2025,Nursery North,N1,76.3,73.3,2093,363.5,82.4,Synthetic environmental + utility data for planning and analytics
1/12/2025,Nursery North,N1,71.1,57.7,2367,325,60.3,Synthetic environmental + utility data for planning and analytics
1/13/2025,Nursery North,N1,74.2,60.2,2061,334.5,77.9,Synthetic environmental + utility data for planning and analytics
1/14/2025,Nursery North,N1,75.2,64.1,2598,351.9,78.4,Synthetic environmental + utility data for planning and analytics
1/15/2025,Nursery North,N1,75.2,57.2,2065,374.2,75.8,Synthetic environmental + utility data for planning and analytics
1/16/2025,Nursery North,N1,72.2,60.5,2211,372.6,80.2,Synthetic environmental + utility data for planning and analytics
1/17/2025,Nursery North,N1,74.1,64.6,2559,398.6,35.6,Synthetic environmental + utility data for planning and analytics
1/18/2025,Nursery North,N1,71.6,56.1,2460,360.5,48,Synthetic environmental + utility data for planning and analytics
1/19/2025,Nursery North,N1,73.7,59,2554,409.4,40,Synthetic environmental + utility data for planning and analytics
1/20/2025,Nursery North,N1,76.3,73.2,2396,380.1,81.9,Synthetic environmental + utility data for planning and analytics
1/21/2025,Nursery North,N1,76.6,70.4,2512,351.2,45.7,Synthetic environmental + utility data for planning and analytics
1/22/2025,Nursery North,N1,74.7,55.3,2018,344.9,65.5,Synthetic environmental + utility data for planning and analytics
1/23/2025,Nursery North,N1,79.6,63.5,2007,406.7,43,Synthetic environmental + utility data for planning and analytics
1/24/2025,Nursery North,N1,73.5,64.5,2138,393.6,70,Synthetic environmental + utility data for planning and analytics
1/25/2025,Nursery North,N1,80.8,62.2,2162,359.2,81,Synthetic environmental + utility data for planning and analytics
1/26/2025,Nursery North,N1,73.9,66.3,1987,328,49.7,Synthetic environmental + utility data for planning and analytics
1/27/2025,Nursery North,N1,79.7,69,1879,322.7,74.6,Synthetic environmental + utility data for planning and analytics
1/28/2025,Nursery North,N1,77.3,65,1997,346.3,50.2,Synthetic environmental + utility data for planning and analytics
1/29/2025,Nursery North,N1,80.3,58,2288,326.5,83.5,Synthetic environmental + utility data for planning and analytics
1/30/2025,Nursery North,N1,78.6,67.9,2386,341.1,80.6,Synthetic environmental + utility data for planning and analytics
1/31/2025,Nursery North,N1,75.4,61.3,1941,349.6,51.2,Synthetic environmental + utility data for planning and analytics
2/1/2025,Nursery North,N1,80.1,55.4,2598,355.5,40,Synthetic environmental + utility data for planning and analytics
2/2/2025,Nursery North,N1,78.9,57.9,2283,407.9,52.7,Synthetic environmental + utility data for planning and analytics
2/3/2025,Nursery North,N1,80.4,74.9,2470,379,72.4,Synthetic environmental + utility data for planning and analytics
2/4/2025,Nursery North,N1,76.6,61.7,2538,418,67.7,Synthetic environmental + utility data for planning and analytics
2/5/2025,Nursery North,N1,81.3,72.7,2538,402.9,78.7,Synthetic environmental + utility data for planning and analytics
2/6/2025,Nursery North,N1,80.6,60.7,2362,416,57.7,Synthetic environmental + utility data for planning and analytics
2/7/2025,Nursery North,N1,79,61.8,2249,344.5,46.4,Synthetic environmental + utility data for planning and analytics
2/8/2025,Nursery North,N1,80.7,64.1,1921,418.8,61.9,Synthetic environmental + utility data for planning and analytics
2/9/2025,Nursery North,N1,83.8,56.6,2541,393.2,75.8,Synthetic environmental + utility data for planning and analytics
2/10/2025,Nursery North,N1,82.5,59.8,2250,410.7,80.9,Synthetic environmental + utility data for planning and analytics
2/11/2025,Nursery North,N1,80.2,68.3,2503,374.9,60.5,Synthetic environmental + utility data for planning and analytics
2/12/2025,Nursery North,N1,82.2,59.1,2479,397.4,59.3,Synthetic environmental + utility data for planning and analytics
2/13/2025,Nursery North,N1,83.4,55.2,2371,377.9,69.8,Synthetic environmental + utility data for planning and analytics
2/14/2025,Nursery North,N1,79.8,73.9,2571,337.3,61.8,Synthetic environmental + utility data for planning and analytics
2/15/2025,Nursery North,N1,86.6,55.4,2320,418.1,59.3,Synthetic environmental + utility data for planning and analytics
2/16/2025,Nursery North,N1,83.6,57,1991,391.7,46.3,Synthetic environmental + utility data for planning and analytics
2/17/2025,Nursery North,N1,84.2,71.3,1801,400.7,46.5,Synthetic environmental + utility data for planning and analytics
2/18/2025,Nursery North,N1,81.9,71.1,2315,402.5,61,Synthetic environmental + utility data for planning and analytics
2/19/2025,Nursery North,N1,81.2,58,1901,415.7,54.1,Synthetic environmental + utility data for planning and analytics
2/20/2025,Nursery North,N1,86,59.5,1812,397.7,36.8,Synthetic environmental + utility data for planning and analytics
2/21/2025,Nursery North,N1,82.5,66.3,1994,363.6,81.4,Synthetic environmental + utility data for planning and analytics
2/22/2025,Nursery North,N1,83.8,60.6,2115,330.6,75.6,Synthetic environmental + utility data for planning and analytics
2/23/2025,Nursery North,N1,82.2,73.8,1939,372,68.4,Synthetic environmental + utility data for planning and analytics
2/24/2025,Nursery North,N1,84.9,69.9,2426,355.7,63.9,Synthetic environmental + utility data for planning and analytics
2/25/2025,Nursery North,N1,83.9,55.8,2346,345.7,73.9,Synthetic environmental + utility data for planning and analytics
2/26/2025,Nursery North,N1,87.1,55.8,1953,409.6,67.9,Synthetic environmental + utility data for planning and analytics
2/27/2025,Nursery North,N1,89.2,57.9,1972,361.7,73.8,Synthetic environmental + utility data for planning and analytics
2/28/2025,Nursery North,N1,89.2,56.6,2064,331.7,58.2,Synthetic environmental + utility data for planning and analytics
3/1/2025,Nursery North,N1,84.9,67.5,2443,403.7,49.6,Synthetic environmental + utility data for planning and analytics
3/2/2025,Nursery North,N1,90.3,64.7,2324,387,73.6,Synthetic environmental + utility data for planning and analytics
3/3/2025,Nursery North,N1,88.3,67.1,2044,376.9,83.8,Synthetic environmental + utility data for planning and analytics
3/4/2025,Nursery North,N1,86.1,59.7,2078,335.7,50.3,Synthetic environmental + utility data for planning and analytics
3/5/2025,Nursery North,N1,84.3,67.5,1887,324.2,55.4,Synthetic environmental + utility data for planning and analytics
3/6/2025,Nursery North,N1,83.7,74,1914,405.9,47.7,Synthetic environmental + utility data for planning and analytics
3/7/2025,Nursery North,N1,85,57.7,1820,326.9,47,Synthetic environmental + utility data for planning and analytics
3/8/2025,Nursery North,N1,87,61,2037,368.3,72.6,Synthetic environmental + utility data for planning and analytics
3/9/2025,Nursery North,N1,84.6,60.3,2474,374.2,43.3,Synthetic environmental + utility data for planning and analytics
3/10/2025,Nursery North,N1,87.9,74.7,2232,362.6,44.6,Synthetic environmental + utility data for planning and analytics
3/11/2025,Nursery North,N1,86.1,59.3,2002,344.1,42.9,Synthetic environmental + utility data for planning and analytics
3/12/2025,Nursery North,N1,90.8,62.5,2013,346.9,43.6,Synthetic environmental + utility data for planning and analytics
3/13/2025,Nursery North,N1,91.8,58.3,1997,409.9,65,Synthetic environmental + utility data for planning and analytics
3/14/2025,Nursery North,N1,87.1,74.3,2056,334.3,42.4,Synthetic environmental + utility data for planning and analytics
3/15/2025,Nursery North,N1,89.6,56.2,2494,348.8,41.2,Synthetic environmental + utility data for planning and analytics
3/16/2025,Nursery North,N1,86.4,56.2,1943,335.3,78,Synthetic environmental + utility data for planning and analytics
3/17/2025,Nursery North,N1,89.1,63.9,2315,325.8,65,Synthetic environmental + utility data for planning and analytics
