Pig_Group_ID,Expected_Head_From_Nursery,Coverage_Percent,Head_Covered,Contracts,Instrument_Type,Buy_Sell,Trade_Date,Expiration_Date,Strike_or_Futures_Price_CWT,Option_or_LRP_Premium_CWT,Contract_Month,Broker,Notes
PG-1017,2338,0.86,2000,5,Lean Hog Futures,Sell,2/8/2025,6/10/2025,79.93,0,25-Jun,ProAg Risk,Coverage sized off nursery expected head
PG-1014,2454,0.65,1600,4,Lean Hog Futures,Sell,2/23/2025,6/7/2025,93.15,0,25-Jun,ProAg Risk,Coverage sized off nursery expected head
PG-1002,2281,0.53,1200,3,Lean Hog Put Option,Buy,3/7/2025,6/30/2025,88.2,4.09,25-Jun,ProAg Risk,Coverage sized off nursery expected head
PG-1015,2596,0.62,1600,4,LRP Policy,Buy,3/17/2025,7/7/2025,79.17,3.3,25-Jul,ProAg Risk,Coverage sized off nursery expected head
PG-1000,2305,0.52,1200,3,Lean Hog Put Option,Buy,3/30/2025,8/23/2025,89.89,4.18,25-Aug,ProAg Risk,Coverage sized off nursery expected head
PG-1016,2406,0.83,2000,5,Lean Hog Put Option,Buy,4/1/2025,7/28/2025,77.18,1.97,25-Jul,ProAg Risk,Coverage sized off nursery expected head
PG-1011,2383,0.84,2000,5,Lean Hog Put Option,Buy,4/4/2025,7/13/2025,78.28,3.22,25-Jul,ProAg Risk,Coverage sized off nursery expected head
PG-1004,2139,0.75,1600,4,Lean Hog Put Option,Buy,4/16/2025,9/8/2025,75.18,3.42,25-Sep,ProAg Risk,Coverage sized off nursery expected head
PG-1005,2115,0.57,1200,3,LRP Policy,Buy,4/29/2025,9/25/2025,88.2,3.38,25-Sep,ProAg Risk,Coverage sized off nursery expected head
PG-1009,2512,0.8,2000,5,LRP Policy,Buy,5/6/2025,9/5/2025,93.23,3.14,25-Sep,ProAg Risk,Coverage sized off nursery expected head
PG-1007,2466,0.49,1200,3,Lean Hog Futures,Sell,5/19/2025,8/21/2025,91.94,0,25-Aug,ProAg Risk,Coverage sized off nursery expected head
PG-1003,2160,0.56,1200,3,Lean Hog Futures,Sell,7/12/2025,11/1/2025,80.15,0,25-Nov,ProAg Risk,Coverage sized off nursery expected head
PG-1006,2501,0.64,1600,4,Lean Hog Put Option,Buy,7/16/2025,10/25/2025,75.91,3.65,25-Oct,ProAg Risk,Coverage sized off nursery expected head
PG-1001,2582,0.62,1600,4,LRP Policy,Buy,7/21/2025,11/21/2025,74.32,3.8,25-Nov,ProAg Risk,Coverage sized off nursery expected head
PG-1010,2242,0.54,1200,3,LRP Policy,Buy,9/14/2025,1/19/2026,74.37,1.99,26-Jan,ProAg Risk,Coverage sized off nursery expected head
PG-1013,2206,0.54,1200,3,Lean Hog Put Option,Buy,9/14/2025,1/18/2026,86.12,2.03,26-Jan,ProAg Risk,Coverage sized off nursery expected head
PG-1012,2433,0.66,1600,4,Lean Hog Futures,Sell,9/17/2025,1/4/2026,90.86,0,26-Jan,ProAg Risk,Coverage sized off nursery expected head
PG-1008,2522,0.79,2000,5,LRP Policy,Buy,9/18/2025,1/31/2026,88.74,3.51,26-Jan,ProAg Risk,Coverage sized off nursery expected head
